timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624282332729,1649,Login,200,OK,Thread Group 1-2,text,true,,3375,651,3,3,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,1643,0,1287
1624282333724,654,Login,200,OK,Thread Group 1-3,text,true,,3375,651,3,3,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,648,0,292
1624282332009,2368,Login,200,OK,Thread Group 1-1,text,true,,3375,651,3,3,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,2362,0,2006
1624282334722,158,Login,200,OK,Thread Group 1-4,text,true,,3375,651,4,4,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,158,0,71
1624282334439,1045,CalonPeserta,200,OK,Thread Group 1-1,text,true,,75083,2447,4,4,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,999,0,102
1624282334439,1327,CalonPeserta,200,OK,Thread Group 1-2,text,true,,75083,2447,4,4,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,1291,0,110
1624282335729,141,Login,200,OK,Thread Group 1-5,text,true,,3375,651,3,3,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,140,0,55
1624282334440,1636,CalonPeserta,200,OK,Thread Group 1-3,text,true,,75091,2447,3,3,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,1600,0,114
1624282334883,1492,CalonPeserta,200,OK,Thread Group 1-4,text,true,,75083,2447,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,1458,0,92
1624282335872,709,CalonPeserta,200,OK,Thread Group 1-5,text,true,,75083,2447,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,676,0,80
1624282336722,227,Login,200,OK,Thread Group 1-6,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,227,0,126
