timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623625511979,3127,DaftarPeserta,200,OK,Thread Group 1-1,text,true,,124710,2555,4,4,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,3082,0,1283
1623625512808,2807,DaftarPeserta,200,OK,Thread Group 1-2,text,true,,124710,2555,3,3,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,2748,0,459
1623625513807,1909,DaftarPeserta,200,OK,Thread Group 1-3,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1854,0,136
1623625514807,1519,DaftarPeserta,200,OK,Thread Group 1-4,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1461,0,96
1623625515773,1039,DaftarPeserta,200,OK,Thread Group 1-5,text,true,,124718,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,981,0,121
1623625516789,961,DaftarPeserta,200,OK,Thread Group 1-6,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,865,0,88
1623625517795,1062,DaftarPeserta,200,OK,Thread Group 1-7,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1006,0,88
1623625518772,1126,DaftarPeserta,200,OK,Thread Group 1-8,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1045,0,95
1623625519788,1084,DaftarPeserta,200,OK,Thread Group 1-9,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,87
1623625520787,1121,DaftarPeserta,200,OK,Thread Group 1-10,text,true,,124726,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1062,0,82
1623625521772,1110,DaftarPeserta,200,OK,Thread Group 1-11,text,true,,124726,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1031,0,85
1623625522773,1103,DaftarPeserta,200,OK,Thread Group 1-12,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1052,0,89
1623625523799,1078,DaftarPeserta,200,OK,Thread Group 1-13,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1023,0,83
1623625524788,1099,DaftarPeserta,200,OK,Thread Group 1-14,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1032,0,89
1623625525789,1073,DaftarPeserta,200,OK,Thread Group 1-15,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1012,0,97
1623625526773,1069,DaftarPeserta,200,OK,Thread Group 1-16,text,true,,124718,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1010,0,76
1623625527756,853,DaftarPeserta,200,OK,Thread Group 1-17,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,801,0,84
1623625528781,1077,DaftarPeserta,200,OK,Thread Group 1-18,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1019,0,95
1623625529773,1067,DaftarPeserta,200,OK,Thread Group 1-19,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1010,0,102
1623625530756,1079,DaftarPeserta,200,OK,Thread Group 1-20,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,80
1623625531757,1077,DaftarPeserta,200,OK,Thread Group 1-21,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1024,0,80
1623625532756,843,DaftarPeserta,200,OK,Thread Group 1-22,text,true,,124718,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,792,0,75
1623625533757,1107,DaftarPeserta,200,OK,Thread Group 1-23,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1052,0,67
1623625534756,953,DaftarPeserta,200,OK,Thread Group 1-24,text,true,,124718,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,891,0,122
1623625535757,965,DaftarPeserta,200,OK,Thread Group 1-25,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,897,0,79
1623625536757,888,DaftarPeserta,200,OK,Thread Group 1-26,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,831,0,80
1623625537757,961,DaftarPeserta,200,OK,Thread Group 1-27,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,905,0,85
1623625538757,1082,DaftarPeserta,200,OK,Thread Group 1-28,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1025,0,82
1623625539756,1082,DaftarPeserta,200,OK,Thread Group 1-29,text,true,,124718,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1028,0,84
1623625540758,1081,DaftarPeserta,200,OK,Thread Group 1-30,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1023,0,86
1623625541756,1118,DaftarPeserta,200,OK,Thread Group 1-31,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1044,0,86
1623625542767,856,DaftarPeserta,200,OK,Thread Group 1-32,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,803,0,78
1623625543757,1086,DaftarPeserta,200,OK,Thread Group 1-33,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,83
1623625544757,863,DaftarPeserta,200,OK,Thread Group 1-34,text,true,,124718,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,803,0,85
1623625545756,1085,DaftarPeserta,200,OK,Thread Group 1-35,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,81
1623625546756,1084,DaftarPeserta,200,OK,Thread Group 1-36,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,82
1623625547756,1012,DaftarPeserta,200,OK,Thread Group 1-37,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,958,0,78
1623625548756,1133,DaftarPeserta,200,OK,Thread Group 1-38,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1072,0,74
1623625549803,1051,DaftarPeserta,200,OK,Thread Group 1-39,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,994,0,78
1623625550772,1082,DaftarPeserta,200,OK,Thread Group 1-40,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1024,0,75
1623625551772,849,DaftarPeserta,200,OK,Thread Group 1-41,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,788,0,77
1623625552772,1112,DaftarPeserta,200,OK,Thread Group 1-42,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1057,0,70
1623625553804,1105,DaftarPeserta,200,OK,Thread Group 1-43,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1025,0,76
1623625554804,1082,DaftarPeserta,200,OK,Thread Group 1-44,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1025,0,78
1623625555803,1082,DaftarPeserta,200,OK,Thread Group 1-45,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,70
1623625556803,1093,DaftarPeserta,200,OK,Thread Group 1-46,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1028,0,91
1623625557803,1114,DaftarPeserta,200,OK,Thread Group 1-47,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,80
1623625558803,861,DaftarPeserta,200,OK,Thread Group 1-48,text,true,,124726,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,771,0,108
1623625559803,1084,DaftarPeserta,200,OK,Thread Group 1-49,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1033,0,81
1623625560812,1064,DaftarPeserta,200,OK,Thread Group 1-50,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1014,0,65
1623625561803,1107,DaftarPeserta,200,OK,Thread Group 1-51,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1028,0,79
1623625562803,1113,DaftarPeserta,200,OK,Thread Group 1-52,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1057,0,77
1623625563833,1054,DaftarPeserta,200,OK,Thread Group 1-53,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,993,0,73
1623625564802,1084,DaftarPeserta,200,OK,Thread Group 1-54,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1028,0,78
1623625565803,1093,DaftarPeserta,200,OK,Thread Group 1-55,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,83
1623625566803,1123,DaftarPeserta,200,OK,Thread Group 1-56,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1060,0,84
1623625567834,1011,DaftarPeserta,200,OK,Thread Group 1-57,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,920,0,144
1623625568834,1078,DaftarPeserta,200,OK,Thread Group 1-58,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1011,0,76
1623625569819,1089,DaftarPeserta,200,OK,Thread Group 1-59,text,true,,124717,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1025,0,77
1623625570819,1080,DaftarPeserta,200,OK,Thread Group 1-60,text,true,,124709,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1024,0,90
1623625571817,116,DaftarPeserta,429,Too Many Requests,Thread Group 1-61,text,false,,357,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,116,0,80
1623625572818,111,DaftarPeserta,429,Too Many Requests,Thread Group 1-62,text,false,,357,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,111,0,75
1623625573817,1077,DaftarPeserta,200,OK,Thread Group 1-63,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1023,0,133
1623625574818,1083,DaftarPeserta,200,OK,Thread Group 1-64,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,80
1623625575819,1078,DaftarPeserta,200,OK,Thread Group 1-65,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1023,0,74
1623625576818,1123,DaftarPeserta,200,OK,Thread Group 1-66,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1032,0,80
1623625577823,910,DaftarPeserta,200,OK,Thread Group 1-67,text,true,,124718,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,827,0,99
1623625578817,1077,DaftarPeserta,200,OK,Thread Group 1-68,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,63
1623625579818,1089,DaftarPeserta,200,OK,Thread Group 1-69,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,77
1623625580818,1195,DaftarPeserta,200,OK,Thread Group 1-70,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1138,0,73
1623625581817,1072,DaftarPeserta,200,OK,Thread Group 1-71,text,true,,124718,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,992,0,80
1623625582834,1190,DaftarPeserta,200,OK,Thread Group 1-72,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1134,0,71
1623625583818,1097,DaftarPeserta,200,OK,Thread Group 1-73,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1034,0,73
1623625584818,1081,DaftarPeserta,200,OK,Thread Group 1-74,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1027,0,78
1623625585818,1082,DaftarPeserta,200,OK,Thread Group 1-75,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,80
1623625586818,889,DaftarPeserta,200,OK,Thread Group 1-76,text,true,,124718,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,832,0,75
1623625587824,1108,DaftarPeserta,200,OK,Thread Group 1-77,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1018,0,73
1623625588818,1092,DaftarPeserta,200,OK,Thread Group 1-78,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1025,0,104
1623625589818,1085,DaftarPeserta,200,OK,Thread Group 1-79,text,true,,124718,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1024,0,92
1623625590817,897,DaftarPeserta,200,OK,Thread Group 1-80,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,838,0,79
1623625591818,1082,DaftarPeserta,200,OK,Thread Group 1-81,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,68
1623625592819,1072,DaftarPeserta,200,OK,Thread Group 1-82,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1022,0,67
1623625593818,1090,DaftarPeserta,200,OK,Thread Group 1-83,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,75
1623625594818,1085,DaftarPeserta,200,OK,Thread Group 1-84,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,90
1623625595818,1110,DaftarPeserta,200,OK,Thread Group 1-85,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1029,0,78
1623625596818,907,DaftarPeserta,200,OK,Thread Group 1-86,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,851,0,85
1623625597818,1064,DaftarPeserta,200,OK,Thread Group 1-87,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1010,0,71
1623625598802,1088,DaftarPeserta,200,OK,Thread Group 1-88,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1028,0,80
1623625599802,1111,DaftarPeserta,200,OK,Thread Group 1-89,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1029,0,77
1623625600804,1116,DaftarPeserta,200,OK,Thread Group 1-90,text,true,,124718,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1062,0,129
1623625601837,1052,DaftarPeserta,200,OK,Thread Group 1-91,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,991,0,74
1623625602803,1092,DaftarPeserta,200,OK,Thread Group 1-92,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1028,0,78
1623625603803,1116,DaftarPeserta,200,OK,Thread Group 1-93,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1036,0,91
1623625604803,1105,DaftarPeserta,200,OK,Thread Group 1-94,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1025,0,73
1623625605803,1081,DaftarPeserta,200,OK,Thread Group 1-95,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1026,0,78
1623625606804,1114,DaftarPeserta,200,OK,Thread Group 1-96,text,true,,124710,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1058,0,84
1623625607836,908,DaftarPeserta,200,OK,Thread Group 1-97,text,true,,124710,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,852,0,72
1623625608803,918,DaftarPeserta,200,OK,Thread Group 1-98,text,true,,124726,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,861,0,84
