timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624973277668,1225,Login,200,OK,Thread Group 1-1,text,true,,3375,651,2,2,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,1219,0,1099
1624973278470,441,Login,200,OK,Thread Group 1-2,text,true,,3375,651,2,2,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,440,0,292
1624973279045,405,Kegiatan,200,OK,Thread Group 1-2,text,true,,29457,2425,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,400,0,114
1624973279047,500,Kegiatan,200,OK,Thread Group 1-1,text,true,,29457,2425,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,494,0,110
1624973279470,152,Login,200,OK,Thread Group 1-3,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,152,0,63
1624973279625,213,Kegiatan,200,OK,Thread Group 1-3,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,209,0,94
1624973280470,144,Login,200,OK,Thread Group 1-4,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,143,0,56
1624973280671,230,Kegiatan,200,OK,Thread Group 1-4,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,221,0,88
1624973281470,380,Login,200,OK,Thread Group 1-5,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,379,0,295
1624973281852,221,Kegiatan,200,OK,Thread Group 1-5,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,217,0,92
1624973282470,139,Login,200,OK,Thread Group 1-6,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,138,0,50
1624973282618,257,Kegiatan,200,OK,Thread Group 1-6,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,254,0,78
1624973283476,133,Login,200,OK,Thread Group 1-7,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,132,0,50
1624973283611,237,Kegiatan,200,OK,Thread Group 1-7,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,229,0,79
1624973284476,138,Login,200,OK,Thread Group 1-8,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,137,0,56
1624973284616,251,Kegiatan,200,OK,Thread Group 1-8,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,244,0,76
1624973285461,175,Login,200,OK,Thread Group 1-9,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,174,0,89
1624973285638,443,Kegiatan,200,OK,Thread Group 1-9,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,439,0,82
1624973286459,145,Login,200,OK,Thread Group 1-10,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,142,0,46
1624973286607,337,Kegiatan,200,OK,Thread Group 1-10,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,330,0,79
1624973287477,138,Login,200,OK,Thread Group 1-11,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,137,0,50
1624973287618,385,Kegiatan,200,OK,Thread Group 1-11,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,370,0,85
1624973288460,123,Login,200,OK,Thread Group 1-12,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,122,0,43
1624973288585,427,Kegiatan,200,OK,Thread Group 1-12,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,419,0,84
1624973289460,135,Login,200,OK,Thread Group 1-13,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,134,0,52
1624973289597,244,Kegiatan,200,OK,Thread Group 1-13,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,237,0,76
1624973290460,134,Login,200,OK,Thread Group 1-14,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,133,0,46
1624973290595,250,Kegiatan,200,OK,Thread Group 1-14,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,244,0,78
1624973291460,135,Login,200,OK,Thread Group 1-15,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,134,0,50
1624973291597,269,Kegiatan,200,OK,Thread Group 1-15,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,263,0,83
1624973292461,517,Login,200,OK,Thread Group 1-16,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,509,0,417
1624973292979,284,Kegiatan,200,OK,Thread Group 1-16,text,true,,29457,2425,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/events?per_page=50&page=1&sort_order=desc&status=published,275,0,161
1624973293460,129,Login,200,OK,Thread Group 1-17,text,true,,3375,651,1,1,https://sso.digitalservice.jabarprov.go.id/auth/realms/jabarprov/protocol/openid-connect/token,128,0,45
