timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620656565514,4262,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-6,text,true,,77826,2550,10,10,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,4243,0,3001
1620656562529,7646,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-3,text,true,,77826,2550,9,9,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,7596,0,5994
1620656564507,6739,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-5,text,true,,77826,2550,9,9,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,6708,0,4022
1620656563525,8252,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-4,text,true,,77826,2550,9,9,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,8206,0,5008
1620656560918,10955,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-1,text,true,,77826,2550,8,8,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,10915,0,7607
1620656567510,4623,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-8,text,true,,77826,2550,7,7,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,4573,0,1019
1620656566522,5986,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-7,text,true,,77826,2550,6,6,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,5700,0,1992
1620656568499,5224,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-9,text,true,,77826,2550,7,7,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,5188,0,203
1620656569531,4226,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-10,text,true,,77826,2550,6,6,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,4162,0,110
1620656561537,12242,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=new,200,OK,Thread Group 1-2,text,true,,77826,2550,5,5,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=new,12124,0,6985
